fips,pop
18055,31922
18097,964582
18177,65884
19011,25645
19023,14439
19061,97311
19071,6960
19079,14773
19151,6619
19173,6121
19175,12241
19177,7044
19195,7381
19159,4894
19003,3602
19001,7152
19009,5496
19037,11933
19039,9395
19051,9000
40055,5712
40073,15765
40087,40474
40091,19596
40095,16931
40099,14073
40103,11131
40105,10076
40115,31127
40131,92459
40135,41569
40145,81289
40003,5702
40151,8793
40015,28762
40027,284014
40101,67997
40107,11993
40005,13758
40013,47995
41061,26835
41047,347818
41029,220944
41019,110980
41023,7199
41031,24658
41053,86085
41005,418187
41017,197692
41043,129749
41057,27036
41071,107100
41001,16124
41033,87487
41035,68238
41059,77950
41041,49962
41003,93053
41009,52354
41013,24404
41055,1780
41065,26682
41025,7393
41039,382067
41045,30571
41063,7208
41067,601592
41069,1332
41049,11603
41007,40224
41011,64487
41015,22925
41021,1912
41027,23382
41037,7869
41051,812855
42103,55809
42109,40372
42115,40328
42039,84629
42049,269728
42057,14530
42067,24763
42107,141359
42131,26794
42001,103009
42005,64735
42035,38632
42025,64182
42027,162385
42097,90843
42095,305285
42023,4447
42121,50668
42007,163929
42017,628270
42069,209674
42077,369318
42083,40625
42051,129274
42031,38438
42091,830915
42033,79255
42059,36233
42075,141793
42081,113299
42079,317417
42093,18230
42123,39191
42037,64964
42019,187853
42047,29910
42065,43425
42071,545724
42085,109424
42099,46272
42105,16526
42113,6066
42117,40591
44005,82082
44003,164292
44007,638931
44001,48479
44009,125577
45003,170872
45005,8688
45071,38440
45037,27260
45023,32244
45027,33745
45029,37677
45067,30657
45085,106721
45063,298750
45073,79546
45011,20866
45015,227907
45019,411406
45031,66618
45043,62680
45069,26118
45091,280979
45007,202558
45021,57300
45025,45650
45047,70811
45053,30073
45051,354081
45055,66551
45061,16828
45075,86175
45083,319785
45001,24527
45009,14066
45013,192122
45017,14553
45033,30479
45081,20473
45079,415759
45039,22347
45049,19222
45045,523542
45057,98012
45035,162809
45041,138293
45059,67493
45065,9463
45077,126884
45087,27316
45089,30368
46003,2751
46051,7052
46123,5441
46085,3781
46137,2756
46039,4351
46115,6376
46009,6901
46015,5297
46011,35077
46047,6713
46053,4185
46057,6164
46071,3344
46099,193134
46033,8972
46069,1301
46025,3736
46049,2299
46067,7291
46077,4939
46129,5435
46017,1962
46027,14070
46037,5424
46041,5892
46043,2921
46063,1298
46065,17526
46089,2379
46109,10394
46111,2344
46119,1391
46083,61128
46059,3191
46079,12797
46081,25844
46135,22814
46029,28009
46005,18453
46019,10429
46031,4086
46035,19775
46045,3829
46021,1376
46073,2013
46007,3365
46055,1899
46117,3098
46075,903
46093,28332
46107,2153
46125,8384
46013,38839
46023,9292
46061,3453
46087,5586
46091,4935
46095,2061
46101,6576
46105,2865
46103,113775
46121,10177
46127,15932
46097,2216
46102,14177
5089,16694
5097,8986
5127,10281
5129,7881
5131,127827
5033,63257
5007,279141
5017,10118
5059,33771
5071,26578
5077,8857
5087,16576
5041,11361
5049,12477
5061,13202
5051,99386
5093,40651
5115,64072
5117,8062
5139,38682
5147,6320
5023,24919
5025,7956
5067,16719
5057,21532
5135,17442
5137,12506
5143,239187
5005,41932
5003,19657
5031,110332
5055,45325
5073,6624
5105,10455
5107,17782
5111,23528
5133,17007
5149,21341
5013,5189
5019,22320
5011,10763
5075,16406
5095,6701
5113,19964
5029,20846
5103,23382
5101,7753
5001,17486
5081,12259
5085,73309
5015,28380
5091,43257
5123,24994
5119,391911
5145,78753
6047,277680
6033,64386
6043,17203
6049,8841
6115,78668
6013,1153526
6027,18039
6035,30573
6099,550660
6083,446499
6097,494336
6103,65084
6025,181215
6051,14444
6069,62808
6001,1671329
6067,1552058
6017,192843
6055,137744
6053,434061
6075,881549
6091,3005
6073,3338330
6107,466195
6113,220500
6023,135558
6057,99755
6003,1129
6039,157327
6045,86749
6087,273213
6105,12285
6037,10039107
6065,2470546
6071,2180085
6085,1927852
6041,258826
6061,398329
6093,43539
6089,180080
6095,447643
6015,27812
6011,21547
6021,28393
6007,219186
6031,152940
6063,18807
6079,283111
6019,999101
6029,900202
6059,3175692
6111,846006
6009,45905
6101,96971
6081,766573
6109,54478
6077,762148
6005,39752
8095,4265
8007,14029
8031,727211
8061,1406
8055,6897
8009,3581
8015,20356
8047,6243
8063,7097
8045,60061
8051,17462
8059,582881
8079,769
8091,4952
8103,6324
8115,2248
8123,324492
8021,8205
8027,5068
8023,3887
8001,517421
8035,351154
8037,55127
8065,8127
8067,56221
8081,13283
8097,17767
8105,11267
8017,1831
8011,5577
8025,6061
8033,2055
8111,728
8057,1392
8069,356899
8075,22409
8083,26183
8113,8179
8119,25388
8013,326196
8039,26729
8071,14506
8125,10019
8073,5701
8107,25638
8117,31011
8003,16233
8019,9700
8029,31162
8043,47839
8101,168424
8085,42758
8087,29068
8093,18845
